BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Variety,VarietyStrain,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Orchard pick,Rockit Trading Company Ltd,Lawn Road,C2,R2917,R2917C,10/06/2024,P1280,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),50,21098.284,18989.604,1054.978,0,0,2108.68,117.1488877,18989.604,990.468,118856.16
Orchard pick,Rockit Trading Company Ltd,HAU,A2,R2776,R2776A,25/06/2024,P1319,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),53,22722.848,19638.648,1091.036,0,0,3084.2,171.3444427,19638.648,7417.764,1404765.18
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,C1,R2879,R2879C,12/04/2024,PE1096,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),23,8280,8280,460,0,0,0,0,8280,0,0
Pre-sized,Rockit Trading Company Ltd,Lawn Road,C2,R2917,R2917C,10/06/2024,PE1147,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),40,14400,14400,800,0,0,0,0,14400,0,0
Pre-sized,Rockit Trading Company Ltd,Waipatu,WPR3,R2873,R2873C,6/08/2024,PE1183,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),107,27360,27360,1520,0,0,0,0,27360,360,43200
Pre-sized,Rockit Trading Company Ltd,Dartmoor,DR3,R2851,R2851E,16/08/2024,PE1197,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),52,18720,18720,1040,0,0,0,0,18720,360,43200
Orchard pick,Rockit Trading Company Ltd,Sunvalley Orchard,WEST,R2732,R2732A,26/08/2024,P1428,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),50,20738.272,17744.472,985.804,0,0,2993.8,166.3222206,17744.472,312.66,37519.2
Orchard pick,Rockit Trading Company Ltd,Crown,A2,R2924,R2924A,11/05/2024,P1220,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),33,14837.83,13302.39,738.4675298,0,0,1535.44,85.30222137,13302.39,4887.216,926749.62
Pre-sized,Rockit Trading Company Ltd,Pioneer,,R1580,R1580A,2/06/2024,PE1143,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),29,10440,10440,580,0,0,0,0,10440,3960,772200
Orchard pick,Rockit Trading Company Ltd,Home Block,B,R1230,R1230B,30/05/2024,P1249,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),62,26320.957,22720.277,1262.238988,0,0,3600.68,200.0377758,22720.277,7105.212,1376908.74
Orchard pick,Rockit Trading Company Ltd,Valley,,R2919,R2919D,17/06/2024,P1302,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),258,110400.704,96091.344,5338.408,0,0,14309.36,794.9644365,96091.344,37441.944,6986132.28
Orchard pick,Rockit Trading Company Ltd,Dartmoor,DR5,R2851,R2851I,15/08/2024,P1408,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),89,36893.312,29202.552,1622.364,0,0,7690.76,427.2644402,29202.552,1080.18,129621.6
Pre-sized,Rockit Trading Company Ltd,Longlands,,R2329,R2329D,26/08/2024,PE1220,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),3,1080,1080,60,0,0,0,0,1080,0,0
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,D1,R2879,R2879D,12/04/2024,PE1099,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),27,9720,9720,540,0,0,0,0,9720,0,0
Orchard pick,Rockit Trading Company Ltd,Longlands,C1,R2329,R2329C,10/06/2024,P1283,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),55,23513.004,21174.084,1176.338,0,0,2338.92,129.9399987,21174.084,4146.156,497538.72
