BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Pre-sized,Rockit Trading Company Ltd,Crown,B2,R2924,R2924B,25/09/2024,PE1282,Final report sent,Smartfresh Air,1,360,360,20,0,0,0,0,360,0,0
Orchard pick,Rockit Trading Company Ltd,Steel,A,R1149,R1149A,23/08/2024,P1420,Final report sent,Smartfresh CA,53,22128.648,16318.368,906.576,0,0,5810.28,322.7933301,16318.368,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manahi,F2,R2880,R2880F,24/06/2024,P1317,Final report sent,Smartfresh Air,105,44114.014,37846.214,2102.011673,0,0,6267.8,348.2111076,37846.214,13623.048,2564613.36
Orchard pick,Rockit Trading Company Ltd,HAU,,R2776,R2776B,11/10/2024,P1566,Final report sent,Smartfresh CA,152,64065.108,55647.508,3091.528219,0,0,8417.6,467.6444398,55647.508,24632.86,4355563.96
Orchard pick,Rockit Trading Company Ltd,Sim2,A1,R2886,R2886A,13/09/2024,P1474,Final report sent,Smartfresh CA,51,21935.26,17185.86,954.77,0,0,4749.4,263.8555529,17185.86,237.6,28512
Pre-sized,Rockit Trading Company Ltd,Longlands,,R2329,R2329A,9/09/2024,PE1245,Final report sent,Smartfresh Air,1,360,360,20,0,0,0,0,360,0,0
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879C,25/09/2024,PE1287,Final report sent,Smartfresh Air,1,360,360,20,0,0,0,0,360,0,0
Orchard pick,Rockit Trading Company Ltd,Rangi2,C,R2901,R2901C,11/06/2024,P1285,Final report sent,Smartfresh Air,79,33022.264,28606.104,1589.228,0,0,4416.16,245.3422198,28606.104,0,0
Pre-sized,Rockit Trading Company Ltd,Mana2,,R2927,R2927B,27/08/2024,PE1225,Final report sent,Smartfresh CA,20,7200,7200,400,0,0,0,0,7200,0,0
Pre-sized,Rockit Trading Company Ltd,HAU,,R2776,R2776B,3/07/2024,PE1172,Done,Smartfresh Air,374,133560,133560,7420,0,0,0,0,133560,48960,9142200
